path,file_type,purpose,phase_created,current_or_superseded,source_of_truth,complete,referenced_by_readme,needs_update,notes
README.md,markdown,"Project landing page: status, findings, unknowns, reproducibility",1-3R,current,"yes (public claims, shared with registers)",no,yes,yes,"Repro block stale: says 69 tests (actual 137), missing run_leakage_replay.py and check_c_python_parity.py commands and C-compiler requirement; 'assumed degC' parenthetical stale vs C33; no license/citation section"
.gitignore,config,"Excludes raw data, caches, build dirs",infra,current,yes,yes,no,no,
pyproject.toml,config,"Package metadata, deps, pytest config",1,current,yes,yes,yes,yes,Description says '(Phase 1)'; matplotlib used by scripts but not declared; version 0.1.0; no lock file
data/README.md,markdown,Dataset storage policy; primary-source record; license/redistribution notice,1,current,yes (redistribution notice),yes,yes,no,"States raw files gitignored, hash-pinned; 'Data files (c) Original Authors'"
docs/research_protocol.md,markdown,Evidence classification protocol (CONFIRMED-DATA/SOURCE/INFERENCE etc.),1,current,yes (evidence classes),yes,yes,no,
docs/claim_register.md,markdown,Allowed claims C01-C48 with evidence classes and artifacts,1-3R,current,yes (allowed claims),yes (living doc),yes,no,C38/C39 corrected in place in 3R
docs/assumption_register.md,markdown,Assumptions A01-A37 with status labels,1-3R,current,yes (assumptions),yes (living doc),yes,no,
docs/outreach_requests.md,markdown,Outreach drafts (4 targets + 1 optional); NOT SENT; owner checklist,2,current,yes (outreach drafts),yes,yes,yes (after publication),No DOI/repo link placeholders yet; sending requires owner authorization + publication first
docs/paper_outline.md,markdown,Phase-3 paper outline - superseded by paper/outline.md,3,superseded,no,yes,no,no,Carries SUPERSEDED banner; keep as history
docs/documentation_map.md,markdown,Source-of-truth map (this inventory),3R-docs,current,yes (doc map),yes,no,no,New deliverable of this task
docs/archive/README_initial_unverified.md,markdown,Archive slot + warning for unverified AI-generated README,1,archival,no,yes,yes,no,Do not cite
docs/archive/remote_readme_4ab4b02.md,markdown,Owner's original GitHub README archived verbatim (4ab4b02),1,archival,no,yes,no,no,Contains MIT badge + claims later corrected; historical only
docs/archive/remote_readme_corrections.md,markdown,Correction notes for the archived remote README,1,supporting,no,yes,no,no,
paper/outline.md,markdown,"Paper outline (3R revision): story, section plan, evidence map, claims NOT made",3R,current,yes (paper plan),yes as outline,yes,no,Outline only - NOT a draft paper
paper/abstract_draft_conservative.md,markdown,Conservative abstract drafts (2 lengths) + wording constraints,3R,current,yes (abstract draft),yes,no,no,Numbers present; no explicit artifact links; no citations (normal for abstract)
paper/title_candidates.md,markdown,Ranked title candidates + rejected candidates with reasons,3R,current,yes,yes,no,no,Flags repo-name terminology conflict
paper/limitations.md,markdown,13 numbered limitations incl. six required standing statements,3R,current,"yes (limitations, with registers)",yes,no,no,
paper/figures_tables_inventory.md,markdown,Planned figures/tables with status labels,3R,current,partial,no,no,yes,Lists figures F2/F3 as [READY] but those PNGs do not exist yet (only source CSVs); statuses must be re-checked when figures are generated
provenance/dataset_manifest.json,json,"Dataset manifest: SHA-256 hashes, sizes, acquisition method, Kaggle metadata snapshot",1,current,yes (manifest/hashes),yes,yes,no,Gates verify against this before/after every run
provenance/source_register.csv,csv,"Source register S1-S11+: type, URL, accessed date, evidence class",1-2,current,yes (source registry),yes,yes,no,
firmware_skeleton/mif_filter.h,c-header,C reference filter API + honesty comments,3R,current,"yes (C reference, with .c)",yes,no,no,
firmware_skeleton/mif_filter.c,c-source,C reference filter implementation (host parity build),3R,current,"yes (C reference, with .h)",yes,no,no,No firmware README (gap)
scripts/download_dataset.py,python,Official Kaggle download; hash verification; manifest write,1,current,yes,yes,yes,no,
scripts/independent_raw_verification.py,python,Stdlib-only independent recomputation (56 checks),1,current,yes,yes,yes,no,
scripts/run_data_audit.py,python,Phase-1 audit pipeline,1,current,yes,yes,yes,no,
scripts/run_phase2_analysis.py,python,Phase-2 analysis pipeline,2,current,yes,yes,yes,no,
scripts/run_filter_evaluation.py,python,Phase-3 full-data sweep - EXPLORATORY/ORACLE (relabeled 3R),3,current (exploratory label),yes (oracle sweep generation),yes,yes,no,
scripts/run_leakage_replay.py,python,Phase-3R leakage-controlled replay + T3 horizons,3R,current,yes (replay generation),yes,no,no,Not listed in README repro block (gap)
scripts/check_c_python_parity.py,python,C/Python parity checker (compile + boundary + official sequence),3R,current,yes (parity),yes,no,no,Not listed in README repro block (gap); needs host cc/gcc
src/transformer_audit/__init__.py,python,Package exports,1-3R,current,yes,yes,no,no,
src/transformer_audit/io.py,python,"Raw CSV reading, byte preservation",1,current,yes,yes,no,no,
src/transformer_audit/timestamps.py,python,Timestamp parsing/canonicalization,1,current,yes,yes,no,no,
src/transformer_audit/audit.py,python,Phase-1 audit metrics,1,current,yes,yes,yes,no,
src/transformer_audit/events.py,python,"Event definitions (flags, windows, merge tolerance)",1,current,yes (event definitions),yes,no,no,
src/transformer_audit/electrical.py,python,Electrical context extraction,1,current,yes,yes,no,no,
src/transformer_audit/records.py,python,Repeated-record analysis + policies P1-P4,2,current,yes (repeated-record policies),yes,no,no,
src/transformer_audit/physics.py,python,Conditional physics + apparent tau,2,current,yes (conditional physics),yes,no,no,
src/transformer_audit/provenance.py,python,"Manifest load/verify, hash gates",1,current,yes,yes,no,no,
src/transformer_audit/plausibility_filter.py,python,F1/F2/F3/F4 deterministic causal filters,3,current,yes (filter reference),yes,no,no,
src/transformer_audit/filter_metrics.py,python,"Event-based metrics, zones, baselines, Pareto, cost model",3,current,yes,yes,no,no,
src/transformer_audit/replay.py,python,"Calibration rules, frozen-threshold replay, CIs, horizons",3R,current,yes (calibration/CI logic),yes,no,no,
tests/conftest.py,python,Synthetic fixtures; tests never depend on Kaggle download,1,current,yes,yes,no,no,
tests/test_timestamps.py,python,Timestamp tests,1,current,yes,yes,no,no,
tests/test_io_and_alignment.py,python,I/O + alignment tests,1,current,yes,yes,no,no,
tests/test_audit.py,python,Phase-1 audit tests,1,current,yes,yes,no,no,
tests/test_events.py,python,Event-definition tests,1,current,yes,yes,no,no,
tests/test_phase2_records_physics.py,python,Phase-2 tests,2,current,yes,yes,no,no,
tests/test_phase3_plausibility.py,python,Phase-3 filter tests (44),3,current,yes,yes,no,no,
tests/test_phase3r_leakage.py,python,"Phase-3R tests (24): boundaries, leakage, persistence, CIs, parity, overclaims",3R,current,yes,yes,no,no,
reports/phase_01_report.md,markdown,Phase-1 report (13 sections),1,current (historical record),yes (phase-1 results),yes,yes,no,degC mentions are caveated historical (A01)
reports/phase_01_handoff.md,markdown,Phase-1 handoff,1,current (historical),no,yes,yes,no,
reports/phase_01_code_review.md,markdown,Phase-1 code review (R1 fix),1,current (historical),no,yes,yes,no,
reports/phase_02_report.md,markdown,Phase-2 report (13 sections),2,current (historical),yes (phase-2 results),yes,yes,no,
