claim,earliest_source,source_class,applies_to,applies_to_kaggle_export,note
"Data collected from IoT devices in Tripura, India via REST APIs, 52 locations, 15-min updates, from Nov 2020","Putchala et al. 2022 (S11), Sec. 4 (PRIMARY: dataset authors' platform)",PRIMARY,KernelSphere live platform (Nov 2020+),False,"Kaggle export window is 2019-06-25..2020-04-14, published 2020-05-25 — BEFORE the paper's collection start; the paper describes the platform, not this export's window"
"Column schema (OTI, WTI, ATI, OLI, OTI_A, OTI_T, MOG_A, VL*, IL*, KW, KVA, ...)",Kaggle dataset page (provider) + Putchala Table 2 (identical names),PRIMARY,Kaggle export and live platform,True,"Schema match establishes platform kinship, not entity identity"
OTI > 65 treated as trip threshold; OTI_T derived as binary failure-prediction target,"Putchala et al. 2022 (S11), Sec. 4.2 (their modelling choice on live stream)",PRIMARY,Putchala modelling pipeline,False,In the Kaggle export OTI_T aligns exactly with OTI>=236 — a different threshold; semantics of OTI_T (indication vs command) remain unexplained
"Transformer is 1500 kVA, 11/0.4 kV","Energies 15(21):7981 (S7), Sec. 5.1 (their own Sharjah system)",SOURCE-ADJACENT,AUS/Sharjah PSCAD test system,False,No primary source connects this rating to the Kaggle export; 'similar transformers sharing load capacity' (Energies) is not a rating transfer
OTT shuts off electrical flow when oil temperature is high,"Energies 15(21):7981 (S7), Sec. 7.1 (generic description)",SOURCE-ADJACENT,generic OTT description,False,"In the Kaggle export, voltage/current continue through OTI_T=1 windows — electrical continuity contradicts a breaker-open interpretation for THIS data; OTI_T semantics stay open"
Overheat marker near 90 (C-scale) for oil temperature,"Energies 15(21):7981 (S7), Sec. 8 (anomaly detection on their system)",SOURCE-ADJACENT,their GRU/IF monitoring,False,Kaggle excursions reach 236-250 OTI-units — far above any documented operating band; OTI unit unconfirmed
Dataset is about one distribution transformer,NONE FOUND — appears only as community/project assumption,SECONDARY,—,False,No primary source states the export's entity scope; provider platform covers 52 locations; export has no device/location column
"Energies 2022 experiments used the Kaggle dataset sreshta140/ai-transformer-monitoring, accessed 20 June 2022","Energies 15(21):7981 (S7), Data Availability Statement (verbatim, verified in full text)",SOURCE-ADJACENT,the audited dataset (same upload),True,"The audited archive IS sreshta140/ai-transformer-monitoring v1 (single version, 'Initial release', 2020-05-25; official Kaggle API download, hash-pinned). Energies accessed that URL on 2022-06-20; only version 1 exists, so the same v1 archive"
"The audited dataset was uploaded by the first author of Putchala et al. 2022 (Sreshta R. Putchala, CBIT Hyderabad)","Kaggle dataset owner 'Sreshta Putchala' (dataset 'Distributed Transformer Monitoring', v1 2020-05-25) + Springer author list 'Putchala, S.R., Kotha, R., Guda, V., Ramadevi, Y.' (S11)",PRIMARY (authors' own upload — this is the audited copy),audited dataset,True,"Links the audited export to the paper's research group and, via the paper's Sec. 4, to the KernelSphere platform — but the paper's stream starts Nov 2020, AFTER the export window; platform attribution of THIS window remains an inference"
"A byte-identical mirror exists (pythonafroz/transformer-fault-analysis, v3): same 5 CSVs with Overview.csv renamed Alarm.csv",Phase-1 mirror verification (S9): sha256 match on all five files,SECONDARY (re-upload),mirror only,True,Confirms the files circulate as re-uploads; no new provenance information in the mirror
