source_id,source_type,title,author_or_owner,url,accessed_utc,used_for,evidence_class,primary_or_secondary,notes
S1,Kaggle dataset page,Distributed Transformer Monitoring (dataset),Sreshta Putchala (sreshta140),https://www.kaggle.com/datasets/sreshta140/ai-transformer-monitoring,2026-09-20T19:49Z,Title/subtitle/description/license/version/column glossary/coverage dates,CONFIRMED-SOURCE,primary,"Version 1, last updated 2020-05-25T10:08:46.673Z; license displayed: 'Data files © Original Authors'; description states IoT collection 2019-06-25 to 2020-04-14 'updated every 15 minutes' (actual intervals vary; see reports)."
S2,Kaggle public API metadata snapshot,api/v1/datasets/view/sreshta140/ai-transformer-monitoring (JSON),Kaggle,https://www.kaggle.com/api/v1/datasets/view/sreshta140/ai-transformer-monitoring,2026-09-20T19:49Z,"Machine-readable metadata (owner, version, license, id 673798, byte sizes)",CONFIRMED-SOURCE,primary,"Snapshot stored at data/downloads/kaggle_metadata_v1.json (hash in manifest). Anonymous public access succeeded."
S3,Kaggle official archive (download),ai-transformer-monitoring_v1.zip,Sreshta Putchala via Kaggle,https://www.kaggle.com/api/v1/datasets/download/sreshta140/ai-transformer-monitoring,2026-09-20T19:49Z,Raw data audit (all numbers in reports/generated),CONFIRMED-DATA,primary,"1481162 bytes; sha256 b9257e990d480b3486b176bc19304a18b4aa82fd07dc559ec16aaa3ed3fe9c68; 5 CSVs (see provenance/dataset_manifest.json)."
S4,Kaggle discussion topic,"Anybody knows the location of distributed transformer",nianjunz (topic) + Ali Muhammad (comment),https://www.kaggle.com/datasets/sreshta140/ai-transformer-monitoring/discussion/397277,2026-09-20T19:52Z,Site/location evidence,UNKNOWN,primary,"No answer identifying location; commenter only asks the same question back. Location remains UNKNOWN."
S5,Kaggle discussion topic,"Request for Transformer Nameplate Data and Specifications for the Monitoring Project",MohamedMehery28,https://www.kaggle.com/datasets/sreshta140/ai-transformer-monitoring/discussion,2026-09-20T19:52Z,Nameplate evidence,UNKNOWN,primary,"Posted 2026-09-19 (1 day before this audit); zero replies. No nameplate data published by the dataset author."
S6,Kaggle author profile,sreshta140 profile page,Sreshta Putchala,https://www.kaggle.com/sreshta140,2026-09-20T19:56Z,Author identity context (not asset identity),CONFIRMED-SOURCE,primary,"Author is a data-science practitioner (Accenture; Charlotte NC USA per profile). Profile location is the AUTHOR's location, NOT the transformer site. Author's other datasets are unrelated (COVID genome, diabetes)."
S7,Peer-reviewed paper (secondary),"Machine Learning Approach for Smart Distribution Transformers Load Monitoring and Management System",Chukwuka et al. (Energies 2022 15(21) 7981),https://www.mdpi.com/1996-1073/15/21/7981 (DOI 10.3390/en15217981),2026-09-20T19:51Z,Origin of the '1500 kVA 11/0.4 kV' lead,INFERENCE,secondary,"Paper describes ITS OWN IoT system monitoring a three-phase 1500 kVA 11/0.4 kV transformer and adopts the Kaggle dataset for anomaly-detection analysis, describing it as readings from 'similar transformers sharing load capacity manufactured age measuring units and installed environment conditions'. The 1500 kVA / 11 kV / 0.4 kV description is NOT attributed to the Kaggle asset itself. UNVERIFIED RESEARCH LEAD only. Note: paper says 11->0.4 kV, not 10/0.4 kV."
S8,Peer-reviewed paper (secondary),"Predictive AI Maintenance of Distribution Oil-Immersed Transformer via Multimodal Data Fusion (DMSA CNN-LSTM)",Tamakloe et al. (IET Electric Power Applications 2025),https://ietresearch.onlinelibrary.wiley.com/doi/full/10.1049/elp2.70011,2026-09-20T19:51Z,Research lead (cites dataset [62]),INFERENCE,secondary,"Cites the Kaggle dataset; no primary asset specification for this specific transformer established from it in Phase 1."
S9,Kaggle mirror dataset (re-upload),Transformer fault Analysis (v3),pythonafroz,https://www.kaggle.com/datasets/pythonafroz/transformer-fault-analysis,2026-09-20T19:54Z,Mirror verification only,CONFIRMED-DATA (for the identity check itself),secondary,"Mirror contains the 5 official CSVs byte-identical (sha256 match) with Overview.csv renamed Alarm.csv, plus a text file copying the original dataset description. No new provenance information. Used only as a lead; not used as a data source."
S10,Kaggle notebooks on the dataset,"Transformer Fault Prediction with 99% AUC; Transformer Failure Classifier (98.96% Accuracy); Starter: AI Transformer Monitoring",various Kaggle users,https://www.kaggle.com/datasets/sreshta140/ai-transformer-monitoring/code,2026-09-20T19:52Z,Context for published accuracy claims,INFERENCE,secondary,"9 public notebooks exist. Phase 1 did not audit any notebook's task design; no overfitting accusation is made. Same-timestamp classification vs causal forecasting distinction recorded in docs/claim_register.md."
S11,Peer-reviewed paper (primary for dataset provenance),"Transformer Data Analysis for Predictive Maintenance",Putchala S.R.; Kotha R.; Guda V.; Ramadevi Y. (CBIT Hyderabad),https://doi.org/10.1007/978-981-16-7389-4_21 (full text via author-shared ResearchGate copy),2026-09-20T20:00Z,"Dataset provenance statements (Sec. 4: KernelSphere platform REST APIs 52 locations Tripura 15-min from Nov 2020); schema (Table 2); thresholds (Sec. 4.2); scale (~237,687 rows)",CONFIRMED-SOURCE,primary,"Authors of the dataset upload (first author = dataset owner sreshta140). FULL TEXT READ COMPLETE. Springer copyright: short section-referenced quotes only; no copy stored in repo. Paper window (Nov 2020+) does NOT overlap export window (2019-06-25..2020-04-14)."
S12,Manufacturer page (official),Distribution Transformers,Electrotech Transmission Pvt Ltd (ETT),https://ettgroups.com/distribution-transformers.html,2026-09-20T20:05Z,Manufacturer envelope (ratings/voltages/cooling/masses; no oil volumes),CONFIRMED-SOURCE,secondary,"Official manufacturer, Indore; 200/315 kVA 11/0.433 ONAN IS 1180/2026; 1 MVA 4065 kg; 1.6 MVA 6026 kg. Envelope context only; unrelated to the audited asset."
S13,Utility procurement spec (official),Spec SP-TRDU-02-02 rev 02 (12.12.2019) — distribution transformers,BSES Rajdhani Power Limited (Delhi),BSES public procurement documents (reduced_specr2.pdf),2026-09-20T20:07Z,Utility envelope (400/630/1000 kVA 11/0.433 kV ONAN IS 2026/1180 class A 50C ambient; WTI/OTI scanner + MOG standard accessories),CONFIRMED-SOURCE,secondary,"Utility procurement spec; Annexure D oil volumes beyond 30-page parse limit. Envelope context only."
S14,Manufacturer brochure (official),Transformers brochure (corporate),Bharat Bijlee Ltd,https://www.bharatbijlee.com (transformer-brochure.pdf),2026-09-20T20:08Z,Manufacturer envelope (range-level only; no per-rating oil/mass tables),CONFIRMED-SOURCE,secondary,"Official manufacturer; general corporate brochure up to 200 MVA/400 kV."
S15,Standard (scope only),IS 1180:2014 Part 1 — oil-immersed distribution transformers,Bureau of Indian Standards,scope confirmed via official ITMA presentation,2026-09-20T20:09Z,Standard scope (DTs up to 2500 kVA 33 kV class),CONFIRMED-SOURCE,secondary,"Scope only; per-rating loss figures NOT taken from unofficial sources."
S16,Company pages (public registry),KernelSphere Technologies Pvt Ltd — IoT platform provider,KernelSphere (CIN U72200TG2013PTC085215; ROC Hyderabad; inc. 2013-01-03),https://kernelsphere.com/contact.html,2026-09-20T20:10Z,Provider identity and public contact for outreach drafts (NOT sent),CONFIRMED-SOURCE,primary-adjacent,"Named as data provider in S11 Sec. 4. Real Hyderabad IoT company; public contact info verified. Outreach drafts in docs/outreach_requests.md are DRAFTS ONLY."
